"company","date","avg_volatility","max_volatility","min_volatility"
"AMZN","2022-10-24","0.3196581196581197","1.39","0.0"
"AMZN","2022-10-25","0.20988247863247858","1.16","0.0"
"AMZN","2022-10-26","0.34145299145299146","1.23","0.0"
"AMZN","2022-10-27","0.41677350427350424","2.0","0.0"
"AMZN","2022-10-28","0.529326923076923","3.0","0.0"
"AMZN","2022-10-31","0.3040598290598291","1.32","0.0"
"AMZN","2022-11-01","0.3181089743589743","1.14","0.0"
"AMZN","2022-11-02","0.4185363247863248","3.0","0.0"
"AMZN","2022-11-03","0.3200320512820513","1.46","0.0"
"AMZN","2022-11-04","0.48397435897435886","1.2","0.19"
"BABA","2022-10-24","0.42852564102564106","2.0","0.0"
"BABA","2022-10-25","0.272542735042735","1.17","0.0"
"BABA","2022-10-26","0.3397970085470086","2.0","0.0"
"BABA","2022-10-27","0.23242521367521357","1.49","0.0"
"BABA","2022-10-28","0.1870192307692308","1.18","0.0"
"BABA","2022-10-31","0.1655448717948718","1.32","0.0"
"BABA","2022-11-01","0.1795405982905983","1.06","0.0"
"BABA","2022-11-02","0.23589743589743595","1.44","0.0"
"BABA","2022-11-03","0.22200854700854697","2.0","0.0"
"BABA","2022-11-04","0.42102564102564105","4.18","0.1"
"BBY","2022-10-24","0.14439102564102563","1.11","0.0"
"BBY","2022-10-25","0.10144230769230772","1.12","0.0"
"BBY","2022-10-26","0.11228632478632476","1.0","0.0"
"BBY","2022-10-27","0.15149572649572648","1.0","0.0"
"BBY","2022-10-28","0.09209401709401709","1.08","0.0"
"BBY","2022-10-31","0.1255876068376068","1.07","0.0"
"BBY","2022-11-01","0.12558760683760686","1.0","0.0"
"BBY","2022-11-02","0.17313034188034182","1.29","0.0"
"BBY","2022-11-03","0.14551282051282052","1.0","0.0"
"BBY","2022-11-04","0.23076923076923078","0.6","0.08"
"COST","2022-10-24","1.262446581196581","6.0","0.0"
"COST","2022-10-25","0.9806623931623931","3.2","0.0"
"COST","2022-10-26","1.2449252136752136","5.05","0.0"
"COST","2022-10-27","1.152724358974359","4.13","0.0"
"COST","2022-10-28","1.0528311965811965","6.0","0.0"
"COST","2022-10-31","1.0913995726495727","6.46","0.0"
"COST","2022-11-01","1.0084935897435896","3.28","0.0"
"COST","2022-11-02","1.491880341880342","8.0","0.0"
"COST","2022-11-03","1.1466346153846152","5.36","0.0"
"COST","2022-11-04","1.3144871794871793","5.11","0.43"
"EBAY","2022-10-24","0.04444444444444444","0.46","0.0"
"EBAY","2022-10-25","0.03680555555555555","0.36","0.0"
"EBAY","2022-10-26","0.05496794871794873","1.0","0.0"
"EBAY","2022-10-27","0.05101495726495726","0.37","0.0"
"EBAY","2022-10-28","0.04818376068376069","0.49","0.0"
"EBAY","2022-10-31","0.04519230769230766","0.36","0.0"
"EBAY","2022-11-01","0.04786324786324786","0.38","0.0"
"EBAY","2022-11-02","0.08899572649572647","1.0","0.0"
"EBAY","2022-11-03","0.09668803418803418","1.0","0.0"
"EBAY","2022-11-04","0.15730769230769226","0.47","0.07"
"HD","2022-10-24","0.7207799145299144","3.0","0.0"
"HD","2022-10-25","0.685363247863248","5.05","0.0"
"HD","2022-10-26","0.6564102564102564","3.0","0.0"
"HD","2022-10-27","0.7758547008547009","3.0","0.0"
"HD","2022-10-28","0.5659722222222223","4.0","0.0"
"HD","2022-10-31","0.7981303418803418","4.0","0.0"
"HD","2022-11-01","0.7130341880341882","2.21","0.0"
"HD","2022-11-02","0.9365384615384615","4.34","0.0"
"HD","2022-11-03","0.7933760683760683","3.0","0.0"
"HD","2022-11-04","0.9151282051282049","2.38","0.39"
"KR","2022-10-24","0.09017094017094014","0.34","0.0"
"KR","2022-10-25","0.0724358974358974","0.35","0.0"
"KR","2022-10-26","0.08600427350427343","1.0","0.0"
"KR","2022-10-27","0.07617521367521364","0.33","0.0"
"KR","2022-10-28","0.07884615384615386","0.4","0.0"
"KR","2022-10-31","0.07329059829059825","0.44","0.0"
"KR","2022-11-01","0.07670940170940166","0.26","0.0"
"KR","2022-11-02","0.09871794871794873","0.5","0.0"
"KR","2022-11-03","0.07884615384615382","0.24","0.0"
"KR","2022-11-04","0.12038461538461541","0.35","0.04"
"SHOP","2022-10-24","0.06992521367521368","0.5","0.0"
"SHOP","2022-10-25","0.05715811965811966","0.48","0.0"
"SHOP","2022-10-26","0.11228632478632479","1.0","0.0"
"SHOP","2022-10-27","0.24385683760683755","1.15","0.0"
"SHOP","2022-10-28","0.13098290598290596","1.0","0.0"
"SHOP","2022-10-31","0.15785256410256415","1.0","0.0"
"SHOP","2022-11-01","0.1204059829059829","1.15","0.0"
"SHOP","2022-11-02","0.15283119658119662","1.02","0.0"
"SHOP","2022-11-03","0.10550213675213674","1.0","0.0"
"SHOP","2022-11-04","0.22961538461538475","1.03","0.07"
"TGT","2022-10-24","0.3829594017094016","2.0","0.0"
"TGT","2022-10-25","0.3066239316239316","2.0","0.0"
"TGT","2022-10-26","0.43750000000000006","2.29","0.0"
"TGT","2022-10-27","0.38776709401709386","2.08","0.0"
"TGT","2022-10-28","0.31351495726495726","2.0","0.0"
"TGT","2022-10-31","0.3375534188034188","2.0","0.0"
"TGT","2022-11-01","0.3095085470085471","2.0","0.0"
"TGT","2022-11-02","0.447542735042735","2.27","0.0"
"TGT","2022-11-03","0.3598824786324786","1.42","0.0"
"TGT","2022-11-04","0.5156410256410257","1.51","0.19"
"WMT","2022-10-24","0.1763354700854701","1.0","0.0"
"WMT","2022-10-25","0.1121260683760684","1.0","0.0"
